observed Discharge Funudsbach from TIWAG gauge and H-Loggers [m3/s]
YYYY	MM	DD	HH	1595	1935	2012	2021
YYYY	MM	DD	HH	221847.733	219661.222	218687.432	218296.567
YYYY	MM	DD	HH	42720.77	42183.67	42391.33	42459.4
YYYY	MM	DD	HH	Fundus 1989	Fundus A	Fundus B	Fundus C
2013	1	18	16	0.111	-9999	-9999	-9999
2013	1	18	17	0.111	-9999	-9999	-9999
2013	1	18	18	0.11	-9999	-9999	-9999
2013	1	18	19	0.11	-9999	-9999	-9999
2013	1	18	20	0.109	-9999	-9999	-9999
2013	1	18	21	0.11	-9999	-9999	-9999
2013	1	18	22	0.11	-9999	-9999	-9999
2013	1	18	23	0.109	-9999	-9999	-9999
2013	1	19	0	0.109	-9999	-9999	-9999
2013	1	19	1	0.109	-9999	-9999	-9999
2013	1	19	2	0.109	-9999	-9999	-9999
2013	1	19	3	0.109	-9999	-9999	-9999
2013	1	19	4	0.109	-9999	-9999	-9999
2013	1	19	5	0.11	-9999	-9999	-9999
2013	1	19	6	0.11	-9999	-9999	-9999
2013	1	19	7	0.111	-9999	-9999	-9999
2013	1	19	8	0.111	-9999	-9999	-9999
2013	1	19	9	0.111	-9999	-9999	-9999
2013	1	19	10	0.111	-9999	-9999	-9999
2013	1	19	11	0.111	-9999	-9999	-9999
2013	1	19	12	0.111	-9999	-9999	-9999
2013	1	19	13	0.111	-9999	-9999	-9999
2013	1	19	14	0.111	-9999	-9999	-9999
2013	1	19	15	0.111	-9999	-9999	-9999
2013	1	19	16	0.111	-9999	-9999	-9999
2013	1	19	17	0.111	-9999	-9999	-9999
2013	1	19	18	0.111	-9999	-9999	-9999
2013	1	19	19	0.111	-9999	-9999	-9999
2013	1	19	20	0.11	-9999	-9999	-9999
2013	1	19	21	0.109	-9999	-9999	-9999
2013	1	19	22	0.11	-9999	-9999	-9999
2013	1	19	23	0.109	-9999	-9999	-9999
2013	1	20	0	0.11	-9999	-9999	-9999
2013	1	20	1	0.11	-9999	-9999	-9999
2013	1	20	2	0.11	-9999	-9999	-9999
2013	1	20	3	0.11	-9999	-9999	-9999
2013	1	20	4	0.109	-9999	-9999	-9999
2013	1	20	5	0.109	-9999	-9999	-9999
2013	1	20	6	0.109	-9999	-9999	-9999
2013	1	20	7	0.109	-9999	-9999	-9999
2013	1	20	8	0.109	-9999	-9999	-9999
2013	1	20	9	0.108	-9999	-9999	-9999
2013	1	20	10	0.109	-9999	-9999	-9999
2013	1	20	11	0.109	-9999	-9999	-9999
2013	1	20	12	0.109	-9999	-9999	-9999
2013	1	20	13	0.109	-9999	-9999	-9999
2013	1	20	14	0.11	-9999	-9999	-9999
2013	1	20	15	0.111	-9999	-9999	-9999
2013	1	20	16	0.111	-9999	-9999	-9999
2013	1	20	17	0.111	-9999	-9999	-9999
2013	1	20	18	0.11	-9999	-9999	-9999
2013	1	20	19	0.109	-9999	-9999	-9999
2013	1	20	20	0.109	-9999	-9999	-9999
2013	1	20	21	0.109	-9999	-9999	-9999
2013	1	20	22	0.108	-9999	-9999	-9999
2013	1	20	23	0.108	-9999	-9999	-9999
2013	1	21	0	0.108	-9999	-9999	-9999
2013	1	21	1	0.108	-9999	-9999	-9999
2013	1	21	2	0.108	-9999	-9999	-9999
2013	1	21	3	0.108	-9999	-9999	-9999
2013	1	21	4	0.108	-9999	-9999	-9999
2013	1	21	5	0.108	-9999	-9999	-9999
2013	1	21	6	0.108	-9999	-9999	-9999
2013	1	21	7	0.109	-9999	-9999	-9999
2013	1	21	8	0.108	-9999	-9999	-9999
2013	1	21	9	0.108	-9999	-9999	-9999
2013	1	21	10	0.108	-9999	-9999	-9999
2013	1	21	11	0.108	-9999	-9999	-9999
2013	1	21	12	0.108	-9999	-9999	-9999
2013	1	21	13	0.108	-9999	-9999	-9999
2013	1	21	14	0.108	-9999	-9999	-9999
2013	1	21	15	0.108	-9999	-9999	-9999
2013	1	21	16	0.108	-9999	-9999	-9999
2013	1	21	17	0.108	-9999	-9999	-9999
2013	1	21	18	0.108	-9999	-9999	-9999
2013	1	21	19	0.109	-9999	-9999	-9999
2013	1	21	20	0.109	-9999	-9999	-9999
2013	1	21	21	0.109	-9999	-9999	-9999
2013	1	21	22	0.108	-9999	-9999	-9999
2013	1	21	23	0.108	-9999	-9999	-9999
2013	1	22	0	0.108	-9999	-9999	-9999
2013	1	22	1	0.108	-9999	-9999	-9999
2013	1	22	2	0.108	-9999	-9999	-9999
2013	1	22	3	0.108	-9999	-9999	-9999
2013	1	22	4	0.108	-9999	-9999	-9999
2013	1	22	5	0.108	-9999	-9999	-9999
2013	1	22	6	0.108	-9999	-9999	-9999
2013	1	22	7	0.108	-9999	-9999	-9999
2013	1	22	8	0.108	-9999	-9999	-9999
2013	1	22	9	0.108	-9999	-9999	-9999
2013	1	22	10	0.108	-9999	-9999	-9999
2013	1	22	11	0.107	-9999	-9999	-9999
2013	1	22	12	0.107	-9999	-9999	-9999
2013	1	22	13	0.107	-9999	-9999	-9999
2013	1	22	14	0.107	-9999	-9999	-9999
2013	1	22	15	0.108	-9999	-9999	-9999
2013	1	22	16	0.107	-9999	-9999	-9999
2013	1	22	17	0.107	-9999	-9999	-9999
2013	1	22	18	0.107	-9999	-9999	-9999
2013	1	22	19	0.107	-9999	-9999	-9999
2013	1	22	20	0.107	-9999	-9999	-9999
2013	1	22	21	0.107	-9999	-9999	-9999
2013	1	22	22	0.106	-9999	-9999	-9999
