mean daily discharge [m/s]
YYYY	MM	DD	HH	1598.2
YYYY	MM	DD	HH	221847.733
YYYY	MM	DD	HH	42720.77
YYYY	MM	DD	HH	Fundus_1989
2015	9	2	0	0.436
2015	9	3	0	0.445
2015	9	4	0	0.44
2015	9	5	0	0.436
2015	9	6	0	0.429
2015	9	7	0	0.411
2015	9	8	0	0.395
2015	9	9	0	0.384
2015	9	10	0	0.378
2015	9	11	0	0.363
2015	9	12	0	0.349
2015	9	13	0	0.338
2015	9	14	0	0.34
2015	9	15	0	0.327
2015	9	16	0	0.321
2015	9	17	0	0.325
2015	9	18	0	0.314
2015	9	19	0	0.303
2015	9	20	0	0.293
2015	9	21	0	0.281
2015	9	22	0	0.274
2015	9	23	0	0.288
2015	9	24	0	0.272
2015	9	25	0	0.269
2015	9	26	0	0.267
2015	9	27	0	0.263
2015	9	28	0	0.258
2015	9	29	0	0.254
2015	9	30	0	0.25
2015	10	1	0	0.247
2015	10	2	0	0.242
2015	10	3	0	0.236
2015	10	4	0	0.235
2015	10	5	0	0.232
2015	10	6	0	0.23
2015	10	7	0	0.257
2015	10	8	0	0.246
2015	10	9	0	0.243
2015	10	10	0	0.24
2015	10	11	0	0.238
2015	10	12	0	0.235
2015	10	13	0	0.233
2015	10	14	0	0.241
2015	10	15	0	0.237
2015	10	16	0	0.234
2015	10	17	0	0.23
2015	10	18	0	0.228
2015	10	19	0	0.23
2015	10	20	0	0.222
2015	10	21	0	0.222
2015	10	22	0	0.218
2015	10	23	0	0.219
2015	10	24	0	0.218
2015	10	25	0	0.219
2015	10	26	0	0.221
2015	10	27	0	0.221
2015	10	28	0	0.219
2015	10	29	0	0.227
2015	10	30	0	0.222
2015	10	31	0	0.218
2015	11	1	0	0.215
2015	11	2	0	0.211
2015	11	3	0	0.208
2015	11	4	0	0.205
2015	11	5	0	0.202
2015	11	6	0	0.198
2015	11	7	0	0.195
